product_id,category,price,quantity_sold,rating
1,Clothing,57.450712295168486,18,3.7
2,Clothing,47.92603548243223,24,3.5
3,Electronics,59.715328071510385,20,3.2
4,Electronics,72.84544784612038,21,4.9
5,Electronics,46.48769937914996,26,3.4
6,Home,46.487945645762295,14,3.6
7,Toys,73.68819223261087,24,4.7
8,Clothing,61.51152093729363,13,3.1
9,Clothing,42.95788421097572,23,4.4
10,Home,58.13840065378947,25,3.3
11,Clothing,43.04873460781307,12,4.6
12,Electronics,43.01405369644615,18,2.9
13,Toys,53.629434073490515,24,3.1
14,Books,21.300796330133032,21,3.7
15,Clothing,24.126232512304508,27,4.5
16,Electronics,41.56568706138541,20,4.0
17,Books,34.80753319498364,20,3.8
18,Toys,54.71370998892911,14,4.7
19,Books,36.37963886718184,22,5.0
20,Electronics,28.815444479970626,18,4.3
21,Books,71.98473153382331,26,3.7
22,Home,46.61335549270196,32,3.8
23,Books,51.012923070318855,33,3.4
24,Clothing,28.628777206798148,26,4.1
25,Clothing,41.834259132122256,20,3.2
26,Home,51.663838845647994,23,4.3
27,Electronics,32.73509633866546,22,5.0
28,Clothing,55.63547027518508,27,4.4
29,Toys,40.99041965121793,26,3.8
30,Clothing,45.62459375310085,22,4.3
31,Clothing,40.97440081655905,15,4.8
32,Electronics,77.78417276763406,18,4.8
33,Books,49.79754162893099,20,3.5
34,Clothing,34.13433606566149,25,4.3
35,Home,62.338173681547836,23,3.9
36,Books,31.687345250434667,19,4.4
37,Toys,53.132953925071334,26,4.2
38,Electronics,20.604948141803366,15,2.8
39,Toys,30.077209266523543,20,3.8
40,Books,52.952918538036855,17,4.1
41,Books,61.07699869993115,21,3.3
42,Books,52.57052421784956,29,4.3
43,Toys,48.265275764176394,16,3.2
44,Books,45.48344456616067,21,3.6
45,Toys,27.822170144488588,22,4.7
46,Books,39.20233687407937,18,3.6
47,Home,43.09041843560319,22,4.3
48,Books,65.85683339328374,24,3.1
49,Toys,55.15427434352692,25,5.0
50,Clothing,23.55439766955899,21,3.8
51,Books,54.86125954092192,19,4.0
52,Clothing,44.22376579375525,22,4.1
53,Home,39.84616999541062,16,4.3
54,Electronics,59.175144332613016,21,3.2
55,Home,65.46499283743927,19,4.0
56,Books,63.96920178674298,18,3.7
57,Clothing,37.41173715166042,24,3.2
58,Clothing,45.36181436223178,30,4.5
59,Toys,54.96895147105346,28,3.8
60,Clothing,64.63317690683539,17,4.1
61,Toys,42.81238643232065,18,4.1
62,Electronics,47.215115350042744,16,3.8
63,Books,33.40497538990958,14,5.0
64,Toys,32.05690063878994,15,4.0
65,Electronics,62.18788733591297,22,3.2
66,Clothing,70.34360042856234,18,3.8
67,Clothing,48.91984817629499,20,4.2
68,Electronics,65.05299346838036,15,4.3
69,Clothing,55.424540375714514,9,3.5
70,Electronics,40.323203680923136,17,4.5
71,Toys,55.42093408262621,13,3.1
72,Toys,73.07054849698955,19,4.6
73,Electronics,49.46260941335073,18,3.3
74,Toys,73.4696548372101,23,3.9
75,Toys,10.703823438653835,24,4.5
76,Toys,62.32853756562836,28,4.1
77,Home,51.30570602357257,17,4.4
78,Books,45.51488974301199,23,4.3
79,Clothing,51.37641164803254,16,4.6
80,Home,20.186466280986608,20,4.5
81,Toys,46.70492168243732,18,3.8
82,Electronics,55.3566885726762,23,4.3
83,Toys,72.16841067112274,16,3.2
84,Books,42.22594672589529,27,4.0
85,Toys,37.87259595660218,20,4.4
86,Electronics,42.47364434623195,19,4.1
87,Books,63.731031765531114,16,4.2
88,Toys,54.93126664489527,18,3.9
89,Books,42.05359694349442,17,4.6
90,Clothing,57.699011496700344,18,4.0
91,Clothing,51.456163240220604,26,3.8
92,Toys,64.52967485799334,22,4.4
93,Books,39.469203591839715,20,3.3
94,Electronics,45.085067801033475,20,4.3
95,Toys,44.118377703017636,23,3.5
96,Clothing,28.04727577801822,14,4.6
97,Clothing,54.44180415596864,18,3.9
98,Toys,53.91582908269834,21,4.1
99,Books,50.07670184963691,16,4.2
100,Clothing,46.481192999372794,15,3.0
101,Books,28.769438869243785,15,3.7
102,Clothing,43.69032015851961,17,4.5
103,Clothing,44.85928225209846,27,4.4
104,Home,37.96584096167572,20,4.1
105,Clothing,47.580714325009865,19,3.3
106,Electronics,56.060762852218076,17,4.3
107,Toys,78.29278851815795,21,4.4
108,Toys,52.61866719247759,17,4.0
109,Books,53.86325586084146,15,4.6
110,Clothing,48.883311263507494,19,3.7
111,Electronics,21.21843177051438,16,3.7
112,Books,49.602291868261744,21,2.8
113,Home,50.9034531491154,21,4.5
114,Books,86.94863168727929,20,4.2
115,Books,47.114585528283165,10,3.2
116,Clothing,54.523210135004184,14,3.1
117,Home,49.47932345442135,25,3.6
118,Books,32.46982943570702,22,4.4
119,Electronics,67.14234221772531,21,3.8
120,Electronics,61.27899549030161,19,3.6
121,Toys,61.865479205645705,28,3.5
122,Home,36.35918817807892,32,3.5
123,Home,71.04191466404149,15,3.0
124,Toys,28.972234058115788,23,3.4
125,Books,58.80285640700406,25,3.5
126,Home,82.85683438714968,24,4.3
127,Electronics,35.14195512303968,15,3.9
128,Electronics,41.50553405595842,25,3.6
129,Clothing,51.49477047631462,20,5.0
130,Home,42.44786518825701,26,3.7
131,Books,26.74004853400801,25,4.6
132,Toys,51.02844462209041,18,4.8
133,Toys,34.06544429410843,17,3.2
134,Books,57.10388645952772,20,4.0
135,Clothing,36.20863648649295,27,3.7
136,Toys,73.24901607526309,21,3.7
137,Home,38.251200614956446,22,4.3
138,Clothing,45.16907725691487,29,3.7
139,Home,62.202758260545046,18,3.8
140,Electronics,31.53703525349067,24,3.9
141,Clothing,53.41189901906194,20,3.8
142,Toys,69.60714131423643,24,3.4
143,Clothing,25.88775148158159,17,4.4
144,Clothing,52.769507877984566,23,4.5
145,Clothing,53.89824191372635,21,4.2
146,Clothing,61.72734307665966,26,3.8
147,Home,31.445739336828773,25,3.6
148,Electronics,30.193150803735854,25,3.6
149,Books,57.829123484253465,19,5.0
150,Clothing,54.45477009849779,14,4.5
151,Toys,53.75739275518815,23,3.6
152,Clothing,55.19672314245464,22,4.1
153,Toys,39.79962917632264,20,3.8
154,Home,53.48380545741505,18,4.3
155,Toys,54.39608709948022,27,4.3
156,Books,39.28472872960448,19,4.5
157,Electronics,77.98661766717134,30,3.6
158,Toys,57.10749381367681,21,4.1
159,Toys,32.13044754196027,21,3.1
160,Electronics,59.84830412950745,21,3.4
161,Books,35.379774946590175,28,4.4
162,Clothing,61.806269056136784,15,3.5
163,Toys,67.37893368511106,21,3.6
164,Electronics,37.68976522472434,28,4.0
165,Home,64.45064193866483,25,4.3
166,Electronics,56.191713904047475,20,3.5
167,Home,62.33090239991735,19,2.3
168,Books,78.4518947398092,18,3.6
169,Clothing,46.31917825995694,19,4.6
170,Electronics,38.693957534637654,28,4.2
171,Toys,36.65728355561715,18,4.7
172,Books,37.762845725518424,19,3.4
173,Electronics,48.843474358788434,19,3.2
174,Toys,55.117279622249654,15,4.2
175,Electronics,54.150361989950284,19,4.1
176,Home,62.40774873554036,18,4.2
177,Electronics,50.19502837816861,22,4.5
178,Electronics,71.80301115735975,22,4.2
179,Electronics,46.03014750143066,31,4.2
180,Books,90.80253749884429,19,4.4
181,Electronics,59.385010216475095,21,4.3
182,Toys,37.14263665375576,23,4.4
183,Home,33.93661252908332,27,4.5
184,Home,57.23708622864778,15,4.8
185,Electronics,46.64805822011223,20,3.7
186,Books,60.71000741138138,19,4.2
187,Books,57.09856436860317,19,3.8
188,Toys,48.90756631014691,21,3.6
189,Electronics,37.29809422897392,29,3.7
190,Home,27.277291629712032,17,4.2
191,Books,43.302275718994686,19,4.2
192,Electronics,62.84598191485209,15,4.2
193,Books,53.21140616195306,22,3.9
194,Books,31.31391831932018,16,4.0
195,Home,52.59771388776773,22,4.4
196,Clothing,55.77976069593255,15,3.3
197,Toys,36.74213845698301,16,4.0
198,Toys,52.305876589182915,16,4.0
199,Home,50.87313077669,25,4.4
200,Books,32.85544553254066,19,3.3
